datetime,open,high,low,close,volume
2026-02-20 04:45:00+00:00,24902.75,24909.0,24896.75,24898.5,376
2026-02-20 05:00:00+00:00,24907.25,24916.25,24906.25,24907.5,772
2026-02-20 05:15:00+00:00,24907.75,24926.0,24904.75,24925.25,579
2026-02-20 05:30:00+00:00,24926.0,24946.25,24925.0,24936.5,1409
2026-02-20 05:45:00+00:00,24936.25,24948.5,24932.5,24943.0,810
2026-02-20 06:00:00+00:00,24944.0,24953.75,24940.0,24953.25,699
2026-02-20 06:15:00+00:00,24953.0,24956.0,24943.75,24945.25,514
2026-02-20 06:30:00+00:00,24944.5,24945.25,24933.25,24937.0,536
2026-02-20 06:45:00+00:00,24936.75,24944.25,24930.75,24943.0,599
2026-02-20 07:00:00+00:00,24942.75,24954.5,24938.0,24948.0,901
2026-02-20 07:15:00+00:00,24948.5,24952.5,24939.0,24941.75,909
2026-02-20 07:30:00+00:00,24940.25,24945.75,24923.5,24937.5,1117
2026-02-20 07:45:00+00:00,24937.75,24938.5,24907.5,24921.5,1140
2026-02-20 08:00:00+00:00,24921.25,24935.25,24906.0,24911.25,1648
2026-02-20 08:15:00+00:00,24911.25,24931.0,24896.75,24929.25,1117
2026-02-20 08:30:00+00:00,24929.5,24931.5,24898.0,24921.5,1194
2026-02-20 08:45:00+00:00,24922.5,24942.5,24917.0,24936.75,841
2026-02-20 09:00:00+00:00,24936.5,24962.0,24932.5,24959.25,1847
2026-02-20 09:15:00+00:00,24961.0,24984.75,24959.25,24976.25,2108
2026-02-20 09:30:00+00:00,24975.0,24982.0,24950.5,24958.0,1275
2026-02-20 09:45:00+00:00,24959.5,24960.0,24931.75,24937.25,1072
2026-02-20 10:00:00+00:00,24935.75,24945.0,24923.5,24940.5,1008
2026-02-20 10:15:00+00:00,24940.75,24946.75,24919.75,24927.25,979
2026-02-20 10:30:00+00:00,24927.5,24937.25,24917.25,24924.75,727
2026-02-20 10:45:00+00:00,24925.5,24936.25,24900.75,24902.0,1199
2026-02-20 11:00:00+00:00,24902.5,24902.5,24840.75,24868.75,3649
2026-02-20 11:15:00+00:00,24866.5,24885.75,24856.0,24879.25,1343
2026-02-20 11:30:00+00:00,24878.0,24888.0,24850.0,24861.0,1276
2026-02-20 11:45:00+00:00,24862.5,24863.25,24811.25,24830.5,2927
2026-02-20 12:00:00+00:00,24829.0,24842.5,24805.0,24839.0,2642
2026-02-20 12:15:00+00:00,24840.25,24849.5,24799.25,24807.75,2582
2026-02-20 12:30:00+00:00,24807.5,24820.0,24791.0,24804.0,2362
2026-02-20 12:45:00+00:00,24802.75,24831.25,24792.0,24829.0,2518
2026-02-20 13:00:00+00:00,24828.0,24833.75,24816.0,24823.75,1844
2026-02-20 13:15:00+00:00,24825.0,24864.0,24824.25,24857.5,2907
2026-02-20 13:30:00+00:00,24856.0,24863.0,24724.75,24744.75,11265
2026-02-20 13:45:00+00:00,24745.25,24773.0,24722.5,24769.25,5704
2026-02-20 14:00:00+00:00,24769.75,24784.0,24728.0,24737.75,4629
2026-02-20 14:15:00+00:00,24737.0,24738.75,24696.75,24715.5,9504
2026-02-20 14:30:00+00:00,24715.25,24948.5,24678.5,24926.0,44498
2026-02-20 14:45:00+00:00,24926.0,24957.5,24852.0,24897.5,29618
2026-02-20 15:00:00+00:00,24900.5,25083.0,24858.25,24928.0,44835
2026-02-20 15:15:00+00:00,24928.0,25037.75,24860.75,24974.0,28562
2026-02-20 15:30:00+00:00,24974.5,25067.75,24908.0,25060.5,23982
2026-02-20 15:45:00+00:00,25061.0,25127.0,25026.0,25118.75,23189
2026-02-20 16:00:00+00:00,25118.25,25139.5,25070.25,25075.75,17084
2026-02-20 16:15:00+00:00,25078.0,25085.75,24975.5,24977.5,20421
2026-02-20 16:30:00+00:00,24977.5,25109.5,24967.25,25092.75,17561
