trade_id,entry_time,strategy,symbol,direction,entry_price,sl_price,tp_price,features_json,exit_time,exit_price,label,pnl_points
f0ed9eac-d582-4cdc-985f-dc4b4e8f92c5,2026-04-21T16:03:00.263981+00:00,strategy1_wick_rejection,MNQ1,1,26721.5,26656.928571428572,26753.785713951147,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 50.75, ""p_range"": 68.25, ""p_upper_wick_r"": 0.1724137931034483, ""p_lower_wick_r"": 0.1724137931034483, ""wick_penetration"": 1.6798029556650247, ""close_pct_body"": 0.3497536945812808, ""rr_ratio"": 0.49999999481865115, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T15:00:00+00:00,26656.92857142857,0,-64.5714
0f65fea2-b6d8-4889-98b9-3072347ce7fa,2026-04-21T16:03:50.154126+00:00,strategy1_wick_rejection,MES1,1,7126.25,7112.857142857143,7135.178570910973,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 16.5, ""p_upper_wick_r"": 0.1276595744680851, ""p_lower_wick_r"": 0.2765957446808511, ""wick_penetration"": 1.1702127659574468, ""close_pct_body"": 0.3191489361702128, ""rr_ratio"": 0.6666666280193129, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T15:00:00+00:00,7135.178570910973,1,8.9286
1f7aac67-2c36-44dd-9a1e-2d341b9c96da,2026-04-21T16:05:54.953988+00:00,strategy1_wick_rejection,MES1,1,7125.0,7111.607142857143,7133.928570910973,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 16.5, ""p_upper_wick_r"": 0.1276595744680851, ""p_lower_wick_r"": 0.2765957446808511, ""wick_penetration"": 1.1702127659574468, ""close_pct_body"": 0.3191489361702128, ""rr_ratio"": 0.6666666280193129, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T16:00:00+00:00,7133.928570910973,1,8.9286
a843bb5d-9c09-49b2-b9fe-fd37709582da,2026-04-21T17:07:18.776350+00:00,strategy1_wick_rejection,MES1,1,7117.25,7102.464285714285,7127.107142285714,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 16.5, ""p_upper_wick_r"": 0.1276595744680851, ""p_lower_wick_r"": 0.2765957446808511, ""wick_penetration"": 1.1702127659574468, ""close_pct_body"": 0.3191489361702128, ""rr_ratio"": 0.6666666280193129, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T17:00:00+00:00,7127.107142285714,1,9.8571
20414277-9fc2-4136-95e4-29141a06338e,2026-04-21T18:07:59.252638+00:00,strategy1_wick_rejection,MES1,1,7115.5,7098.339285714285,7126.94047552726,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 16.5, ""p_upper_wick_r"": 0.1276595744680851, ""p_lower_wick_r"": 0.2765957446808511, ""wick_penetration"": 1.1702127659574468, ""close_pct_body"": 0.3191489361702128, ""rr_ratio"": 0.6666666280193129, ""session"": 1.0, ""hour_cst"": 8.0}",2026-04-21T18:00:00+00:00,7126.94047552726,1,11.4405
5a825528-ae5d-446c-94dd-3b27f1c21f75,2026-04-21T19:06:24.495307+00:00,strategy1_wick_rejection,MNQ1,1,26704.25,26617.839285714286,26780.27921396829,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 62.25, ""p_range"": 114.5, ""p_upper_wick_r"": 0.7991967871485943, ""p_lower_wick_r"": 0.040160642570281124, ""wick_penetration"": 1.0963855421686748, ""close_pct_body"": 0.4578313253012048, ""rr_ratio"": 0.8798586448076474, ""session"": 2.0, ""hour_cst"": 12.0}",2026-04-21T18:00:00+00:00,26617.839285714286,0,-86.4107
8add9af6-b318-4195-8a95-0c77b4719cf8,2026-04-21T19:07:19.817429+00:00,strategy1_wick_rejection,MES1,1,7120.0,7101.535714285715,7132.482896681044,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 24.75, ""p_upper_wick_r"": 1.0, ""p_lower_wick_r"": 0.10638297872340426, ""wick_penetration"": 1.425531914893617, ""close_pct_body"": 0.1702127659574468, ""rr_ratio"": 0.6760562999404772, ""session"": 2.0, ""hour_cst"": 12.0}",2026-04-21T19:00:00+00:00,7132.482896681044,1,12.4829
474ae99d-d6e1-494c-94b5-86ec804a8606,2026-04-21T20:06:30.019083+00:00,strategy1_wick_rejection,MNQ1,1,26611.75,26510.375,26700.945670117377,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 62.25, ""p_range"": 114.5, ""p_upper_wick_r"": 0.7991967871485943, ""p_lower_wick_r"": 0.040160642570281124, ""wick_penetration"": 1.0963855421686748, ""close_pct_body"": 0.4578313253012048, ""rr_ratio"": 0.8798586448076474, ""session"": 2.0, ""hour_cst"": 12.0}",2026-04-21T19:00:00+00:00,26510.375,0,-101.375
b842ba61-7d0b-4836-b98e-fcf3bca1917f,2026-04-21T20:07:46.725749+00:00,strategy1_wick_rejection,MES1,1,7099.5,7077.589285714285,7114.312876429053,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 11.75, ""p_range"": 24.75, ""p_upper_wick_r"": 1.0, ""p_lower_wick_r"": 0.10638297872340426, ""wick_penetration"": 1.425531914893617, ""close_pct_body"": 0.1702127659574468, ""rr_ratio"": 0.6760562999404772, ""session"": 2.0, ""hour_cst"": 12.0}",2026-04-22T14:00:00+00:00,7114.312876429053,1,14.8129
a4b193c2-4bb8-4be9-85a6-2f97935afb32,2026-04-22T14:16:30.369346+00:00,strategy1_wick_rejection,MES1,-1,7149.25,7160.285714285715,7146.898126617922,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T14:00:00+00:00,7160.285714285715,0,-11.0357
236cab66-1abb-4237-8df2-b3714eccaf92,2026-04-22T15:10:51.315834+00:00,strategy1_wick_rejection,MES1,-1,7156.75,7168.160714285715,7154.318208590375,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T18:00:00+00:00,7168.160714285715,0,-11.4107
61d758b9-6865-4b46-b8bf-1dd63dc8d4f0,2026-04-22T18:58:07.252975+00:00,strategy1_wick_rejection,MES1,-1,7158.0,7171.517857142857,7155.119145387972,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T19:00:00+00:00,7155.119145387972,1,2.8809
bad9a9fd-73ee-415e-9be9-b99e4f57d14d,2026-04-22T19:32:33.543173+00:00,strategy1_wick_rejection,MES1,-1,7161.0,7174.089285714285,7158.210480276596,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T19:00:00+00:00,7174.089285714285,0,-13.0893
01441987-812d-439b-975b-19a29163253c,2026-04-22T19:39:34.230828+00:00,strategy1_wick_rejection,MES1,-1,7162.5,7175.660714285715,7159.695257795159,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T19:00:00+00:00,7159.695257795159,1,2.8047
4a183add-e55e-42c6-8d05-b719f323b5e0,2026-04-22T19:45:45.375842+00:00,strategy1_wick_rejection,MES1,-1,7160.0,7173.160714285715,7157.195257795159,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T19:00:00+00:00,7157.195257795159,1,2.8047
1aebf48e-802a-468b-94ef-45d6ce4ec99a,2026-04-22T20:02:50.389111+00:00,strategy1_wick_rejection,MES1,-1,7166.0,7179.571428571428,7163.107728526894,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 3.25, ""p_range"": 7.5, ""p_upper_wick_r"": 0.3076923076923077, ""p_lower_wick_r"": 1.0, ""wick_penetration"": 4.384615384615385, ""close_pct_body"": 0.07692307692307693, ""rr_ratio"": 0.21311474012361886, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-22T20:00:00+00:00,7163.107728526894,1,2.8923
ee18b586-c31a-4e32-bb0c-024de9371d69,2026-04-23T13:31:14.952566+00:00,strategy1_wick_rejection,MES1,1,7151.5,7133.392857142857,7183.187495473214,"{""direction"": 1.0, ""strategy"": 1.0, ""p_direction"": -1.0, ""p_body_size"": 12.0, ""p_range"": 15.75, ""p_upper_wick_r"": 0.125, ""p_lower_wick_r"": 0.1875, ""wick_penetration"": 0.4166666666666667, ""close_pct_body"": 0.16666666666666666, ""rr_ratio"": 1.7499997499999511, ""session"": 1.0, ""hour_cst"": 4.0}",2026-04-23T17:00:00+00:00,7133.392857142857,0,-18.1071
93c20f7d-fab3-4b29-aee9-c3e3f1284994,2026-04-23T14:06:56.910534+00:00,strategy1_wick_rejection,MES1,-1,7162.5,7181.714285714285,7135.3493812429115,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 16.5, ""p_range"": 26.5, ""p_upper_wick_r"": 0.15151515151515152, ""p_lower_wick_r"": 0.45454545454545453, ""wick_penetration"": 0.5303030303030303, ""close_pct_body"": 0.6212121212121212, ""rr_ratio"": 1.4130433553874928, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-23T17:00:00+00:00,7135.349381242912,1,27.1506
c707b0f7-11e0-486d-9a8a-f6b45f1f8da2,2026-04-23T15:07:21.879357+00:00,strategy1_wick_rejection,MES1,-1,7176.25,7193.464285714285,7151.925467953687,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 16.5, ""p_range"": 26.5, ""p_upper_wick_r"": 0.15151515151515152, ""p_lower_wick_r"": 0.45454545454545453, ""wick_penetration"": 0.5303030303030303, ""close_pct_body"": 0.6212121212121212, ""rr_ratio"": 1.4130433553874928, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-23T17:00:00+00:00,7151.925467953687,1,24.3245
8ecf6448-a649-4aae-8475-fc917a4df1f6,2026-04-23T16:07:42.558488+00:00,strategy1_wick_rejection,MES1,-1,7169.0,7186.321428571428,7144.5240704513235,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 16.5, ""p_range"": 26.5, ""p_upper_wick_r"": 0.15151515151515152, ""p_lower_wick_r"": 0.45454545454545453, ""wick_penetration"": 0.5303030303030303, ""close_pct_body"": 0.6212121212121212, ""rr_ratio"": 1.4130433553874928, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-23T17:00:00+00:00,7144.524070451324,1,24.4759
325f529f-52f8-4186-9f0d-a71fc51db16d,2026-04-23T17:07:41.550194+00:00,strategy1_wick_rejection,MES1,-1,7169.25,7186.535714285715,7144.824536285445,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 16.5, ""p_range"": 26.5, ""p_upper_wick_r"": 0.15151515151515152, ""p_lower_wick_r"": 0.45454545454545453, ""wick_penetration"": 0.5303030303030303, ""close_pct_body"": 0.6212121212121212, ""rr_ratio"": 1.4130433553874928, ""session"": 1.0, ""hour_cst"": 7.0}",2026-04-23T17:00:00+00:00,7144.824536285445,1,24.4255
853804cb-02d8-446e-bb42-604584ff4dcc,2026-04-27T16:50:35.909236+00:00,strategy1_wick_rejection,MES1,-1,7197.5,7206.928571428572,7178.642862530613,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 7.0, ""p_range"": 18.25, ""p_upper_wick_r"": 0.42857142857142855, ""p_lower_wick_r"": 1.1785714285714286, ""wick_penetration"": 0.07142857142857142, ""close_pct_body"": 0.32142857142857145, ""rr_ratio"": 1.9999994285713985, ""session"": 2.0, ""hour_cst"": 9.0}",2026-04-27T20:00:00+00:00,7206.928571428572,0,-9.4286
2bd228b1-27e7-4aa0-93b4-c3ad20c9de88,2026-04-27T16:50:37.530897+00:00,strategy1_wick_rejection,MES1,-1,7197.25,7206.678571428572,7178.392862530613,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 7.0, ""p_range"": 18.25, ""p_upper_wick_r"": 0.42857142857142855, ""p_lower_wick_r"": 1.1785714285714286, ""wick_penetration"": 0.07142857142857142, ""close_pct_body"": 0.32142857142857145, ""rr_ratio"": 1.9999994285713985, ""session"": 2.0, ""hour_cst"": 9.0}",2026-04-27T20:00:00+00:00,7206.678571428572,0,-9.4286
bc4d920c-5647-497e-bf15-1d22a0cfd1ce,2026-04-27T21:09:25.552649+00:00,strategy1_wick_rejection,MES1,-1,7205.5,7215.321428571428,7185.857148469388,"{""direction"": -1.0, ""strategy"": 1.0, ""p_direction"": 1.0, ""p_body_size"": 7.0, ""p_range"": 18.25, ""p_upper_wick_r"": 0.42857142857142855, ""p_lower_wick_r"": 1.1785714285714286, ""wick_penetration"": 0.07142857142857142, ""close_pct_body"": 0.32142857142857145, ""rr_ratio"": 1.9999994285713985, ""session"": 2.0, ""hour_cst"": 9.0}",2026-04-29T18:00:00+00:00,7185.857148469388,1,19.6429
